Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
186,LeBron James\jamesle01,PF,33,CLE,3,3,36.7,10.0,16.7,.600,1.3,4.0,.333,8.7,12.7,.684,.640,3.7,4.0,.917,0.7,7.7,8.3,6.3,0.7,1.3,3.3,1.3,25.0
187,Mike James\jamesmi02,PG,27,PHO,4,1,21.0,5.0,9.5,.526,1.3,3.3,.385,3.8,6.3,.600,.592,2.0,2.3,.889,0.3,1.5,1.8,3.8,0.5,0.3,2.0,1.8,13.3
188,Al Jefferson\jeffeal01,C,33,IND,2,0,15.0,5.0,8.0,.625,0.0,0.5,.000,5.0,7.5,.667,.625,1.0,1.5,.667,1.0,4.0,5.0,0.5,0.0,1.0,0.0,1.0,11.0
189,Amir Johnson\johnsam01,C,30,PHI,4,1,14.8,1.3,4.3,.294,0.3,1.0,.250,1.0,3.3,.308,.324,0.8,1.5,.500,1.3,3.3,4.5,0.8,0.3,0.0,0.3,3.5,3.5
190,Brice Johnson\johnsbr02,PF,23,LAC,1,0,6.0,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,1.000,2.0,2.0,1.000,0.0,4.0,4.0,1.0,0.0,0.0,1.0,3.0,6.0
191,Dakari Johnson\johnsda04,C,22,OKC,1,0,3.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0
192,James Johnson\johnsja01,PF,30,MIA,3,2,25.0,4.7,8.3,.560,0.3,3.0,.111,4.3,5.3,.813,.580,1.3,3.0,.444,1.0,4.0,5.0,7.0,1.3,2.0,3.0,3.0,11.0
193,Joe Johnson\johnsjo02,SF,36,UTA,3,0,20.3,4.0,9.0,.444,0.7,3.0,.222,3.3,6.0,.556,.481,0.7,0.7,1.000,0.7,1.3,2.0,1.3,0.7,0.3,2.0,1.7,9.3
194,Stanley Johnson\johnsst04,SF,21,DET,4,4,27.5,1.5,6.0,.250,0.5,3.0,.167,1.0,3.0,.333,.292,1.8,2.0,.875,0.8,3.0,3.8,1.3,1.3,0.0,0.5,2.8,5.3
195,Tyler Johnson\johnsty01,PG,25,MIA,3,0,24.7,2.7,9.0,.296,0.7,3.7,.182,2.0,5.3,.375,.333,1.3,1.3,1.000,0.7,2.3,3.0,1.0,0.7,0.7,1.3,1.7,7.3
196,Wesley Johnson\johnswe01,SF,30,LAC,2,0,17.0,2.5,5.0,.500,0.5,1.5,.333,2.0,3.5,.571,.550,0.5,1.0,.500,0.5,3.5,4.0,1.5,1.5,0.0,0.0,2.5,6.0
